Away Team,Home Team,Date,Time,Court
Team 8,Team 3,2026-01-29,10:15 AM,Court 2
Team 3,Team 16,2026-02-05,8:00 AM,Court 1
Team 4,Team 9,2026-02-05,8:00 AM,Court 2
Team 5,Team 8,2026-02-05,8:45 AM,Court 1
Team 6,Team 7,2026-02-05,8:45 AM,Court 2
Team 12,Team 1,2026-02-05,9:30 AM,Court 1
Team 11,Team 13,2026-02-05,9:30 AM,Court 2
Team 10,Team 14,2026-02-05,10:15 AM,Court 1
Team 2,Team 15,2026-02-05,10:15 AM,Court 2
Team 16,Team 5,2026-02-12,8:00 AM,Court 1
Team 15,Team 4,2026-02-12,8:00 AM,Court 2
Team 8,Team 7,2026-02-12,8:45 AM,Court 1
Team 1,Team 11,2026-02-12,8:45 AM,Court 2
Team 12,Team 10,2026-02-12,9:30 AM,Court 1
Team 13,Team 2,2026-02-12,9:30 AM,Court 2
Team 14,Team 3,2026-02-12,10:15 AM,Court 1
Team 9,Team 6,2026-02-12,10:15 AM,Court 2
Team 7,Team 16,2026-02-19,8:00 AM,Court 1
Team 8,Team 9,2026-02-19,8:00 AM,Court 2
Team 10,Team 1,2026-02-19,8:45 AM,Court 1
Team 2,Team 11,2026-02-19,8:45 AM,Court 2
Team 3,Team 12,2026-02-19,9:30 AM,Court 1
Team 4,Team 13,2026-02-19,9:30 AM,Court 2
Team 5,Team 14,2026-02-19,10:15 AM,Court 1
Team 6,Team 15,2026-02-19,10:15 AM,Court 2
Team 2,Team 1,2026-02-26,8:00 AM,Court 1
Team 3,Team 10,2026-02-26,8:00 AM,Court 2
Team 4,Team 11,2026-02-26,8:45 AM,Court 1
Team 5,Team 12,2026-02-26,8:45 AM,Court 2
Team 6,Team 13,2026-02-26,9:30 AM,Court 1
Team 7,Team 14,2026-02-26,9:30 AM,Court 2
Team 8,Team 15,2026-02-26,10:15 AM,Court 1
Team 9,Team 16,2026-02-26,10:15 AM,Court 2
Team 2,Team 4,2026-03-05,8:00 AM,Court 1
Team 12,Team 7,2026-03-05,8:00 AM,Court 2
Team 11,Team 6,2026-03-05,8:45 AM,Court 1
Team 10,Team 5,2026-03-05,8:45 AM,Court 2
Team 13,Team 8,2026-03-05,9:30 AM,Court 1
Team 14,Team 9,2026-03-05,9:30 AM,Court 2
Team 15,Team 16,2026-03-05,10:15 AM,Court 1
Team 1,Team 3,2026-03-05,10:15 AM,Court 2
Team 2,Team 6,2026-03-12,8:00 AM,Court 1
Team 4,Team 1,2026-03-12,8:00 AM,Court 2
Team 8,Team 11,2026-03-12,8:45 AM,Court 1
Team 9,Team 12,2026-03-12,8:45 AM,Court 2
Team 5,Team 3,2026-03-12,9:30 AM,Court 1
Team 15,Team 14,2026-03-12,9:30 AM,Court 2
Team 7,Team 10,2026-03-12,10:15 AM,Court 1
Team 16,Team 13,2026-03-12,10:15 AM,Court 2
Team 13,Team 14,2026-03-19,8:00 AM,Court 1
Team 2,Team 8,2026-03-19,8:00 AM,Court 2
Team 11,Team 16,2026-03-19,8:45 AM,Court 1
Team 12,Team 15,2026-03-19,8:45 AM,Court 2
Team 10,Team 9,2026-03-19,9:30 AM,Court 1
Team 1,Team 5,2026-03-19,9:30 AM,Court 2
Team 4,Team 6,2026-03-19,10:15 AM,Court 1
Team 3,Team 7,2026-03-19,10:15 AM,Court 2
Team 7,Team 5,2026-03-26,8:00 AM,Court 1
Team 15,Team 10,2026-03-26,8:00 AM,Court 2
Team 13,Team 12,2026-03-26,8:45 AM,Court 1
Team 9,Team 3,2026-03-26,8:45 AM,Court 2
Team 16,Team 2,2026-03-26,9:30 AM,Court 1
Team 6,Team 1,2026-03-26,9:30 AM,Court 2
Team 14,Team 11,2026-03-26,10:15 AM,Court 1
Team 4,Team 8,2026-03-26,10:15 AM,Court 2
